,Company,Year,SECTOR,Sector,stock_FinancialYEnd,stock_FollowingQtrEnd,BasicEPS,total shareholder's equity,Basic avg shares,profit,ESG_Exposure,ESG_Managed,ESG_Class,BVE,ESG_Index
0,ABT,2020,5,Health Care,112.0911407470703,108.8707962036133,2.54,32784000,1771230,4495000,50.567,20.357,5.667,18.509171592622078,1.0538152944388786
1,ABT,2021,5,Health Care,112.4180450439453,103.5595092773438,4.01,35802000,1764082,7071000,49.854,21.682,5.0,20.29497495014404,0.8752844543127761
2,ABT,2022,5,Health Care,97.7903823852539,105.7611923217773,3.99,36686000,1737795,6933000,48.938,23.466,5.0,21.110660348314962,0.9539926774943827
3,ABT,2023,5,Health Care,111.9613647460938,102.8515548706055,3.3,38603000,1734076,5723000,48.0,23.054,5.0,22.26142337475405,0.8755595376491148
4,ADM,2020,3,Consumer Staples,52.45191192626953,56.15447616577149,3.19,20000000,556000,1772000,58.75,24.183,7.0,35.97122302158273,2.224718017797986
5,ADM,2021,3,Consumer Staples,85.06822204589844,73.5248794555664,4.84,22477000,560000,2709000,58.933,24.282,7.0,40.1375,2.2413426709605733
6,ADM,2022,3,Consumer Staples,76.50296020507812,72.962646484375,7.93,24284000,547000,4340000,60.1,23.715,7.0,44.39488117001828,2.2622382362952003
7,ADM,2023,3,Consumer Staples,61.71709060668945,59.95989227294922,6.44,24132000,541000,3483000,57.162,24.278,7.0,44.606284658040664,2.148227178756151
8,AEE,2020,10,Utilities,73.43846893310547,72.78661346435547,3.53,8938000,247000,871000,64.695,28.425,7.545,36.18623481781376,3.0299031601413966
9,AEE,2021,10,Utilities,86.90641784667969,84.310302734375,3.86,9700000,256300,990000,62.688,31.554,5.833,37.846273897776044,2.5430769975138108
10,AEE,2022,10,Utilities,82.19402313232422,78.29534912109375,4.16,10508000,258400,1074000,62.729,33.473,5.0,40.6656346749226,2.387708084025585
11,AEE,2023,10,Utilities,72.60014343261719,70.44337463378906,4.39,11349000,262800,1152000,63.933,35.387,5.0,43.18493150684932,2.5867756420361085
12,AEP,2020,10,Utilities,73.69889831542969,74.28199005126953,4.44,20550900,495718,2200100,72.2,38.438,7.0,41.45683634647118,3.942306686777801
13,AEP,2021,10,Utilities,89.92811584472656,87.23026275634766,4.97,22433200,500522,2488100,68.025,35.229,7.0,44.81960832890462,3.4955192253278478
14,AEP,2022,10,Utilities,84.82612609863281,79.22364044189453,4.51,23893400,511842,2307200,62.925,34.727,6.0,46.68120240230384,2.839794347078829
15,AEP,2023,10,Utilities,83.53663635253906,86.1076889038086,4.26,25246700,518904,2208100,61.279,35.737,5.0,48.65389359110741,2.472521148490213
16,AES,2020,10,Utilities,23.92090797424316,23.41464805603028,0.07,2634000,657143,46000,72.0,38.682,7.0,4.008259998204348,3.9491552101900043
17,AES,2021,10,Utilities,23.52151298522949,19.34463310241699,-0.61,2798000,670492,-409000,78.058,43.244,7.0,4.173055010350608,4.590752260947631
18,AES,2022,10,Utilities,22.63325881958008,19.60758399963379,-0.82,2437000,665854,-546000,74.837,40.493,7.0,3.6599614930600404,4.226504130990087
19,AES,2023,10,Utilities,17.40439224243164,17.2306022644043,0.37,2488000,669000,249000,71.383,40.15,6.333,3.71898355754858,3.7858141484849646
20,AKAM,2020,7,Information Technology,101.9000015258789,116.5999984741211,3.43,4251296,162490,557054,34.95,13.797,5.0,26.16343159579051,-0.4660398635738679
21,AKAM,2021,7,Information Technology,119.3899993896484,91.33000183105467,4.01,4530014,162665,651642,35.375,14.678,4.5,27.84873205668091,-0.5575510868364856
22,AKAM,2022,7,Information Technology,78.30000305175781,89.87000274658203,3.29,4360187,159089,523672,36.208,17.528,3.0,27.407218600908926,-0.8405494799920966
23,AKAM,2023,7,Information Technology,108.7600021362305,90.08000183105467,3.59,4597155,152510,547629,37.108,20.677,3.0,30.143302078552225,-0.5696912443833706
24,ALB,2020,8,Materials,141.7695007324219,163.8751831054688,3.53,4268227,106402,375764,55.073,18.23,7.0,40.11416138794384,1.6091202722561813
25,ALB,2021,8,Materials,216.3252410888672,204.8438262939453,1.07,5625266,115841,123672,55.113,18.207,7.0,48.56023342339932,1.6095832155715892
26,ALB,2022,8,Materials,217.6294708251953,220.0584106445312,22.97,7982627,117120,2689816,56.033,27.128,5.0,68.15767588797814,1.586017075830063
27,ALB,2023,8,Materials,130.8357391357422,95.1669692993164,13.41,9412180,117317,1573476,56.375,29.455,5.0,80.22861136919629,1.7692373388423008
28,ALGN,2020,5,Health Care,541.530029296875,611.0,22.55,3233865,78760,1775888,27.7,7.253,5.0,41.05973844591163,-1.3109056975903626
29,ALGN,2021,5,Health Care,436.0,236.6699981689453,9.78,3622714,78917,772020,27.7,7.713,4.167,45.90536893191581,-1.5720606824501357
30,ALGN,2022,5,Health Care,334.1400146484375,353.6400146484375,4.62,3601358,78190,361573,27.175,7.711,3.5,46.05906126103082,-1.8349976519619404
31,ALGN,2023,5,Health Care,327.9200134277344,241.4299926757812,5.82,3630489,76426,445053,27.0,7.742,3.0,47.503323476303876,-2.0183373023753943
32,ALLE,2020,6,Industrials,119.8752212524414,133.3359375,3.41,829400,92300,314300,35.05,11.397,5.0,8.985915492957746,-0.6312769988884379
33,ALLE,2021,6,Industrials,105.9162139892578,94.8015365600586,5.37,759100,89900,483000,35.008,12.132,5.0,8.443826473859843,-0.5812693750568064
34,ALLE,2022,6,Industrials,104.2212905883789,117.6986618041992,5.2,941800,88000,458000,35.45,11.849,5.0,10.702272727272728,-0.5782031496672057
35,ALLE,2023,6,Industrials,133.6822814941406,117.674072265625,6.15,1318300,87900,540400,37.55,15.23,5.0,14.997724687144482,-0.2279643101770137
36,AMGN,2020,5,Health Care,222.7806396484375,219.8728179931641,12.4,9409000,586000,7264000,38.3,17.31,5.0,16.05631399317406,-0.040902832912473194
37,AMGN,2021,5,Health Care,223.2203826904297,226.5121765136719,10.34,6700000,570000,5893000,38.025,18.674,3.167,11.75438596491228,-0.6049961324759625
38,AMGN,2022,5,Health Care,230.2042846679688,213.281005859375,12.18,3661000,538000,6552000,38.383,17.196,4.667,6.804832713754647,-0.16211142310507573
39,AMGN,2023,5,Health Care,280.125,310.2464904785156,12.56,6232000,535000,6717000,38.55,16.587,5.0,11.64859813084112,-0.07915522605759434
40,AMT,2020,9,Real Estate,217.1354064941407,245.3650360107422,3.81,4093500,443640,1690600,26.55,8.939,3.0,9.227076007573709,-1.9568988261473297
41,AMT,2021,9,Real Estate,232.6863555908203,236.7339630126953,5.69,5081200,451498,2567700,24.267,12.033,3.0,11.254091933962055,-1.856792243689454
42,AMT,2022,9,Real Estate,194.2323608398437,184.3468322753907,3.83,5572400,461519,1765800,23.35,12.468,3.0,12.074042455456873,-1.8739597771022116
43,AMT,2023,9,Real Estate,194.2186584472656,191.0634307861328,3.18,4198200,466063,1483300,24.588,13.697,3.0,9.007795083497296,-1.721767539373133
44,AMZN,2020,2,Consumer Discretionary,154.7039947509766,172.0079956054688,2.13,93404000,10000000,21331000,38.76,8.874,6.6,9.3404,-0.05164451485228851
45,AMZN,2021,2,Consumer Discretionary,162.9974975585938,106.2099990844727,3.3,138245000,10120000,33364000,38.75,9.756,6.0,13.660573122529645,-0.20116003193671106
46,AMZN,2022,2,Consumer Discretionary,103.2900009155273,130.3600006103516,-0.27,146043000,10189000,-2722000,41.7,11.478,7.0,14.333398763372264,0.42852735900196476
47,AMZN,2023,2,Consumer Discretionary,180.3800048828125,193.25,2.95,201875000,10304000,30425000,41.617,11.185,7.0,19.591906055900623,0.4033640776276533
48,ANET,2020,7,Information Technology,75.47250366210938,90.57749938964844,2.09,3320291,303936,634557,27.9,9.2,3.0,10.9243097230996,-1.8675956467806805
49,ANET,2021,7,Information Technology,138.9799957275391,93.73999786376952,2.74,3978600,306512,840854,27.9,10.145,3.0,12.980242209114161,-1.8004695863943752
50,ANET,2022,7,Information Technology,167.8600006103516,162.0599975585938,4.41,4885820,306473,1352446,27.9,11.147,3.0,15.942089515226463,-1.7292946525244521
51,ANET,2023,7,Information Technology,289.9800109863281,350.4800109863281,6.75,7219059,309354,2087321,27.9,11.388,3.0,23.3359161349134,-1.7121757313042407
52,ANSS,2020,7,Information Technology,339.5599975585937,347.0599975585937,5.05,4097872,85840,433887,28.25,12.853,3.0,47.73849021435228,-1.589766460766718
53,ANSS,2021,7,Information Technology,317.6499938964844,239.2899932861328,5.22,4484048,87100,454627,28.204,13.322,3.0,51.48160734787601,-1.5588632497868875
54,ANSS,2022,7,Information Technology,332.7999877929688,330.2699890136719,6.02,4865851,87051,523710,27.7,14.586,3.0,55.896554893108636,-1.4954961154252187
55,ANSS,2023,7,Information Technology,347.1600036621094,321.5,5.76,5390364,86833,500412,29.9,15.463,3.0,62.077366899680996,-1.3178818295354968
56,APH,2020,7,Information Technology,31.8934440612793,33.14781951904297,1.01,5384900,1192000,1203400,34.4,10.538,5.0,4.5175335570469795,-0.7263655959555798
57,APH,2021,7,Information Technology,36.74992752075195,31.48165702819824,1.33,6302000,1195800,1590800,33.758,11.353,5.0,5.270112058872721,-0.7021258319104848
58,APH,2022,7,Information Technology,40.30868911743164,42.01679611206055,1.59,7015600,1192400,1902300,33.3,11.792,5.0,5.8835961086883595,-0.694949609584228
59,APH,2023,7,Information Technology,57.46736526489258,67.26284790039062,1.61,8346500,1193000,1928000,34.175,13.992,3.5,6.996227996647108,-1.0219178327801095
60,APTV,2020,2,Consumer Discretionary,137.8999938964844,157.3300018310547,6.72,7905000,263430,1769000,35.85,20.166,3.0,30.00797175720305,-0.6719302324337251
61,APTV,2021,2,Consumer Discretionary,119.7099990844727,89.06999969482422,1.95,8347000,270460,527000,35.85,22.233,3.0,30.862234711232716,-0.5251052940014581
62,APTV,2022,2,Consumer Discretionary,112.1900024414062,102.0899963378906,1.96,8809000,270900,531000,35.142,23.155,3.0,32.517534145441125,-0.4967245668821575
63,APTV,2023,2,Consumer Discretionary,79.6500015258789,70.41999816894531,10.5,11548000,276920,2909000,35.275,24.522,3.0,41.70157446193846,-0.39265111102919753
64,AVB,2020,9,Real Estate,164.0546569824219,187.1422424316407,5.89,10751583,140426,825675,24.55,12.328,3.0,76.56404796832496,-1.8210034001664654
65,AVB,2021,9,Real Estate,227.4587097167969,178.997314453125,7.19,10932527,139681,1002199,24.717,13.63,3.0,78.26781738389616,-1.7197648863520836
66,AVB,2022,9,Real Estate,159.0364379882812,180.9483337402344,8.13,11253476,139892,1134684,25.125,14.795,2.833,80.44402825036457,-1.6745323780232813
67,AVB,2023,9,Real Estate,182.2992858886719,205.1851501464844,6.56,11783241,141307,927162,25.742,15.85,2.0,83.38752503414551,-1.8610812199112459
68,AVY,2020,8,Materials,173.9944610595703,199.880874633789,6.66,1484900,83151,555900,30.2,11.588,3.0,17.857873026181284,-1.5774089489347989
69,AVY,2021,8,Materials,166.9355621337891,155.9265899658203,8.94,1924400,82606,740100,30.2,12.268,3.0,23.296128610512554,-1.529106598603913
70,AVY,2022,8,Materials,174.4947357177734,168.2352447509766,9.28,2032200,81600,757100,31.117,15.38,3.0,24.904411764705884,-1.259985481921077
71,AVY,2023,8,Materials,221.5528717041016,217.8041229248047,6.25,2127900,80496,503000,32.3,16.373,3.0,26.434853905784138,-1.1274399625849538
72,AWK,2020,10,Utilities,140.8086090087891,145.2498168945312,3.91,6454000,181000,709000,54.95,25.868,5.0,35.65745856353591,1.4397475289084578
73,AWK,2021,10,Utilities,157.7078247070312,142.2915649414062,6.96,7298000,182000,1263000,54.275,26.275,5.0,40.0989010989011,1.4332761058469734
74,AWK,2022,10,Utilities,141.9931793212891,138.9490661621094,4.51,7693000,182000,820000,53.867,26.699,5.0,42.26923076923077,1.4420077092543273
75,AWK,2023,10,Utilities,120.8178100585938,128.4308013916016,4.9,9797000,193000,944000,51.85,30.118,5.0,50.76165803108808,1.5791430240841466
76,AXP,2020,4,Financials,134.7503356933594,158.4420013427734,3.77,22984000,805000,3036000,37.15,15.826,4.167,28.551552795031057,-0.500425817795429
77,AXP,2021,4,Financials,180.232437133789,133.9386138916016,10.04,22177000,789000,7917000,37.696,18.063,3.167,28.107731305449935,-0.6656425665040401
78,AXP,2022,4,Financials,161.0424041748047,170.6627655029297,9.86,24711000,751000,7400000,38.55,19.427,3.5,32.904127829560586,-0.406527710452228
79,AXP,2023,4,Financials,225.5838623046875,230.1492919921875,11.23,28057000,735000,8252000,38.55,19.938,3.0,38.17278911564626,-0.546598524800669
80,BAC,2020,4,Financials,35.50774383544922,38.02676773071289,1.88,272924000,8753200,16473000,48.358,20.891,5.0,31.179911346707488,0.7406809024542299
81,BAC,2021,4,Financials,38.55792617797852,29.26193618774414,3.6,270066000,8493300,30557000,51.612,25.081,5.0,31.79753452721557,1.2088751065641536
82,BAC,2022,4,Financials,27.3758716583252,27.64013290405273,3.21,273197000,8113700,26015000,53.15,26.053,5.0,33.67107484871267,1.3585371418014975
83,BAC,2023,4,Financials,37.42710876464844,39.52957534790039,3.1,291646000,8028600,24866000,53.675,25.737,5.0,36.32588496126348,1.3636099335538376
84,BALL,2020,8,Materials,81.36012268066406,77.92401123046875,1.79,3275000,326260,585000,30.3,15.048,3.0,10.038006497885123,-1.3263934769861447
85,BALL,2021,8,Materials,87.08357238769531,66.68829345703125,2.69,3627000,325989,878000,30.3,16.173,3.0,11.126142293144861,-1.2464815003357814
86,BALL,2022,8,Materials,53.9736442565918,57.21369552612305,2.27,3461000,316433,719000,29.475,17.867,3.0,10.937544440687287,-1.1693962444185577
87,BALL,2023,8,Materials,66.9521255493164,59.84710693359375,2.25,3769000,314775,707000,31.183,19.551,3.0,11.973631959336034,-0.9602478351195028
88,BIO,2020,5,Health Care,571.1699829101562,644.2899780273438,128.13,9879940,29768,3814229,30.233,8.757,5.0,331.89801128728834,-1.0712987818541755
89,BIO,2021,5,Health Care,563.22998046875,495.0,142.61,13685236,29831,4254257,30.35,9.562,5.0,458.7588749958097,-1.007984477605323
90,BIO,2022,5,Health Care,479.0199890136719,379.1199951171875,-121.79,9615252,29785,-3627535,28.867,11.268,3.333,322.8219573610878,-1.5525504760897628
91,BIO,2023,5,Health Care,345.8699951171875,273.1099853515625,-21.82,8741133,29209,-637324,28.012,10.836,3.0,299.261631688863,-1.74551511652307
92,BK,2020,4,Financials,42.10107803344727,45.95890808105469,3.84,45801000,890839,3417000,43.196,20.382,5.0,51.41333057937517,0.4339461301699064
93,BK,2021,4,Financials,45.37885284423828,38.36070251464844,4.17,43034000,851799,3550000,47.625,25.158,5.0,50.52130843074481,1.005356136429059
94,BK,2022,4,Financials,42.86501693725586,42.31720733642578,2.91,40734000,811068,2362000,49.342,27.758,5.0,50.22266936927607,1.2800424102771013
95,BK,2023,4,Financials,56.33713531494141,59.01018905639648,3.89,40874000,784069,3051000,50.217,29.706,4.5,52.13061605547471,1.2879111242410164
96,BKNG,2020,2,Consumer Discretionary,2318.55615234375,2177.49267578125,1.45,4893000,40974,59000,28.209,8.692,3.0,119.41719138966174,-1.887483341835405
97,BKNG,2021,2,Consumer Discretionary,2337.075927734375,1740.519165039062,28.39,6178000,41042,1165000,29.633,9.465,3.333,150.52872667024025,-1.6404709460752163
98,BKNG,2022,2,Consumer Discretionary,2639.563720703125,2687.251953125,76.7,2782000,39872,3058000,35.55,13.266,5.0,69.77327447833066,-0.4723078273156106
99,BKNG,2023,2,Consumer Discretionary,3610.30908203125,3952.402099609375,118.67,-2744000,36140,4289000,34.675,14.087,4.0,-75.92695074709464,-0.812592359311649
100,BLK,2020,4,Financials,689.9000244140625,805.3699951171875,32.0,35283000,154106,4932000,40.846,17.805,5.0,228.9527987229569,0.1277133461436613
101,BLK,2021,4,Financials,713.0294799804688,572.0655517578125,38.6,37693000,152847,5901000,40.7,18.758,5.0,246.60608320739038,0.1877547170939768
102,BLK,2022,4,Financials,642.1234130859375,668.0595703125,34.31,37744000,150921,5178000,40.683,20.753,4.333,250.0911072680409,0.09329846613260395
103,BLK,2023,4,Financials,823.130615234375,782.1624145507812,36.85,39347000,149300,5502000,40.708,22.322,3.0,263.54320160750166,-0.26413924088013285
104,BMY,2020,5,Health Care,55.59808731079102,59.30686569213867,-3.99,37822000,2258000,-9015000,47.963,20.293,5.0,16.75022143489814,0.6774983418957949
105,BMY,2021,5,Health Care,65.82957458496094,70.5330581665039,3.25,35946000,2153000,6994000,38.725,15.971,5.0,16.69577333952624,-0.11373841346706776
106,BMY,2022,5,Health Care,64.41676330566406,59.90537261962891,2.97,31061000,2130000,6327000,38.8,16.136,5.0,14.582629107981221,-0.0980866790703612
107,BMY,2023,5,Health Care,52.19776153564453,40.43759536743164,3.88,29430000,2069000,8025000,39.671,16.999,5.0,14.224262928951184,0.008870313005028004
108,BSX,2020,5,Health Care,38.65000152587891,42.7599983215332,-0.12,15327000,1416700,-115000,51.442,19.168,7.0,10.818804263429096,1.485421225198253
109,BSX,2021,5,Health Care,44.29000091552734,37.27000045776367,0.69,16623000,1422300,985000,48.571,20.936,5.5,11.687407719890318,0.9314109151641999
110,BSX,2022,5,Health Care,50.02999877929688,54.09000015258789,0.45,17574000,1430500,642000,47.15,21.036,5.0,12.285214959804264,0.6876603500026559
111,BSX,2023,5,Health Care,68.48999786376953,77.01000213623047,1.08,19281000,1453000,1570000,46.617,21.292,5.0,13.269786648313833,0.6779062463058003
112,BWA,2020,2,Consumer Discretionary,38.76749801635742,40.74402618408203,2.09,6428000,238931,500000,37.175,13.293,5.0,26.90316451193022,-0.3852115315251736
113,BWA,2021,2,Consumer Discretionary,33.01601791381836,28.43717193603516,2.24,6948000,239777,537000,36.383,18.681,3.833,28.976924392247795,-0.45564541947187726
